epoch,train_loss,val_accuracy
1,0.7064634423815843,0.9375595805529076
2,0.20735192253734125,0.9456625357483317
3,0.18937880282450203,0.9518589132507149
4,0.22524897231146543,0.94232602478551
5,0.19638090614568104,0.9504289799809342
6,0.1973050327012033,0.959485224022879
7,0.19232417138839009,0.936606291706387
8,0.1732228398699351,0.9199237368922784
9,0.1671957472960154,0.9599618684461392
10,0.1714144681740289,0.9585319351763585
11,0.14892604367600548,0.9585319351763585
12,0.15857251820088636,0.9518589132507149
